Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
,1.58782714,0.225257238,Q63HN8;Q63HN8-4,Q63HN8;Q63HN8-4,RN213_HUMAN,RNF213
,0.513509162,0.223637263,Q9HCN4;Q9HCN4-2;Q9HCN4-3;Q9HCN4-4;Q9HCN4-5,Q9HCN4;Q9HCN4-2;Q9HCN4-3;Q9HCN4-4;Q9HCN4-5,GPN1_HUMAN,GPN1
,1.495745828,0.223601659,Q9BRA2,Q9BRA2,TXD17_HUMAN,TXNDC17
,1.28468357,0.22205925,Q13620;Q13620-1,Q13619;Q13619-2;Q13620;Q13620-1;Q13620-3,CUL4B_HUMAN,CUL4B
,0.861490675,0.221984227,P52948;P52948-5;P52948-6,P52948;P52948-2;P52948-5;P52948-6,NUP98_HUMAN,NUP98
,0.985203482,0.22143364,Q9Y6R4;Q9Y6R4-2,Q9Y6R4;Q9Y6R4-2,M3K4_HUMAN,MAP3K4
,1.506910636,0.220368703,P78318,P78318,IGBP1_HUMAN,IGBP1
,1.309911814,0.21998469,Q9BUL8,Q9BUL8,PDC10_HUMAN,PDCD10
,1.151462095,0.219920476,Q8TF05;Q8TF05-2,Q8TF05;Q8TF05-2,PP4R1_HUMAN,PPP4R1
,0.767453301,0.219154358,Q86VW0,Q86VW0,SESD1_HUMAN,SESTD1
,0.245568855,0.219059626,Q96A33,Q96A33;Q96A33-2,CCD47_HUMAN,CCDC47
,0.289013481,0.218141556,Q99447;Q99447-2;Q99447-3;Q99447-4,Q99447;Q99447-2;Q99447-3;Q99447-4,PCY2_HUMAN,PCYT2
,0.316679311,0.218128204,Q9NX24,Q9NX24,NHP2_HUMAN,NHP2
,1.473736199,0.217867533,Q9NVH1;Q9NVH1-3,Q9NVH1;Q9NVH1-3,DJC11_HUMAN,DNAJC11
,0.968841556,0.217391332,Q99536;Q99536-3,Q99536;Q99536-2;Q99536-3,VAT1_HUMAN,VAT1
,0.744671241,0.217185974,Q96DM3,Q96DM3,RMC1_HUMAN,RMC1
,0.34880845,0.216654142,Q8TCG2,Q8TCG2,P4K2B_HUMAN,PI4K2B
,1.137900399,0.216474533,Q96IX5,Q96IX5,ATPMK_HUMAN,ATP5MK
,1.019087512,0.216449738,Q9Y5M8,Q9Y5M8,SRPRB_HUMAN,SRPRB
,0.911222437,0.215431213,O00151,O00151,PDLI1_HUMAN,PDLIM1
,1.420108465,0.214411418,Q9BT78,Q9BT78;Q9BT78-2,CSN4_HUMAN,COPS4
,0.09571498,0.214402199,Q9NRF9,Q9NRF9,DPOE3_HUMAN,POLE3
,0.386770513,0.213729858,Q9BQB6;Q9BQB6-2;Q9BQB6-3,Q9BQB6;Q9BQB6-2;Q9BQB6-3,VKOR1_HUMAN,VKORC1
,0.601582829,0.213645935,Q9NWQ9,Q9NWQ9,CN119_HUMAN,C14orf119
,0.615571306,0.212461472,Q6ZT12;Q6ZT12-4,Q6ZT12;Q6ZT12-2;Q6ZT12-4,UBR3_HUMAN,UBR3
,0.607335942,0.211444855,P21397,P21397;P21397-2,AOFA_HUMAN,MAOA
,1.020214463,0.211038589,Q5H9R7;Q5H9R7-2;Q5H9R7-3;Q5H9R7-4;Q5H9R7-5;Q5H9R7-6,Q5H9R7;Q5H9R7-2;Q5H9R7-3;Q5H9R7-4;Q5H9R7-5;Q5H9R7-6,PP6R3_HUMAN,PPP6R3
,1.144484144,0.210943222,Q9UHP3;Q9UHP3-1;Q9UHP3-3,Q9UHP3;Q9UHP3-1;Q9UHP3-3,UBP25_HUMAN,USP25
,0.522421456,0.208561579,Q9NPA0,Q9NPA0,EMC7_HUMAN,EMC7
,1.228077559,0.207902273,P25325;P25325-2,P25325;P25325-2,THTM_HUMAN,MPST
,0.430159265,0.206852595,Q86VX2;Q86VX2-2,Q86VX2;Q86VX2-2,COMD7_HUMAN,COMMD7
,0.70603504,0.206243197,O94811,O94811,TPPP_HUMAN,TPPP
,0.820761791,0.205666224,Q00325-2,Q00325-2,MPCP_HUMAN,SLC25A3
,0.80209933,0.205265681,Q14997,Q14997;Q14997-2;Q14997-3,PSME4_HUMAN,PSME4
,0.450110777,0.205219269,O15228;O15228-2,O15228;O15228-2,GNPAT_HUMAN,GNPAT
,0.679033919,0.205157598,O43896,O43896,KIF1C_HUMAN,KIF1C
,1.029715246,0.204699198,Q8NI36,Q8NI36,WDR36_HUMAN,WDR36
,1.164612583,0.204685847,Q9UBB4;Q9UBB4-2,Q9UBB4;Q9UBB4-2,ATX10_HUMAN,ATXN10
,1.077248768,0.203998566,Q8IX90,Q8IX90,SKA3_HUMAN,SKA3
,0.881217845,0.203424454,Q13501;Q13501-2,Q13501;Q13501-2,SQSTM_HUMAN,SQSTM1
,1.357948858,0.203391393,Q8NBA8;Q8NBA8-2,Q8NBA8;Q8NBA8-2,DTWD2_HUMAN,DTWD2
,1.650918302,0.203032176,P24928,P24928,RPB1_HUMAN,POLR2A
,0.370390775,0.201687495,O95070,O95070,YIF1A_HUMAN,YIF1A
,0.379645668,0.201263428,Q99653,Q99653,CHP1_HUMAN,CHP1
,1.138357852,0.201239268,P62979,P62979,RS27A_HUMAN,RPS27A
,0.713418718,0.201040904,Q8NB46,Q8NB46,ANR52_HUMAN,ANKRD52
,0.54077975,0.200733821,Q92503;Q92503-2;Q92503-3,Q92503;Q92503-2;Q92503-3,S14L1_HUMAN,SEC14L1
,0.315077784,0.200427373,P47928,P47928,ID4_HUMAN,ID4
,0.732199178,0.200010935,Q16658,Q16658,FSCN1_HUMAN,FSCN1
,0.791387799,0.199921926,O43427;O43427-2,O43427;O43427-2,FIBP_HUMAN,FIBP
,0.42020473,0.199660619,Q8N7R7;Q8N7R7-3,Q8N7R7;Q8N7R7-3,CCYL1_HUMAN,CCNYL1
,0.367563991,0.198926926,O15304;O15304-2,O15304;O15304-2,SIVA_HUMAN,SIVA1
,1.536679972,0.198670705,Q92834;Q92834-2;Q92834-4,Q92834;Q92834-2;Q92834-4,RPGR_HUMAN,RPGR
,0.587183274,0.198462804,P46379;P46379-2;P46379-3,P46379;P46379-2;P46379-3;P46379-4;P46379-5,BAG6_HUMAN,BAG6
,0.815092035,0.198088964,Q14139;Q14139-2,Q14139;Q14139-2,UBE4A_HUMAN,UBE4A
,0.519356618,0.197847366,Q14254,Q14254,FLOT2_HUMAN,FLOT2
,0.353952793,0.197816531,Q6AI08,Q6AI08,HEAT6_HUMAN,HEATR6
,0.713384162,0.19722875,O00213;O00213-2;O00213-3;O00213-4;O00213-5;O00213-6,O00213;O00213-2;O00213-3;O00213-4;O00213-5;O00213-6,APBB1_HUMAN,APBB1
,0.29073977,0.197216352,P62380,P62380,TBPL1_HUMAN,TBPL1
,0.161889211,0.196790059,Q9H4W6;Q9H4W6-2;Q9HAK2;Q9HAK2-2;Q9UH73;Q9UH73-2,Q9H4W6;Q9H4W6-2;Q9HAK2;Q9HAK2-2;Q9UH73;Q9UH73-2,COE1_HUMAN;COE2_HUMAN;COE3_HUMAN,EBF1;EBF2;EBF3
,0.833995318,0.196341197,P48729;P48729-3,P48729;P48729-2;P48729-3,KC1A_HUMAN,CSNK1A1
,1.363015778,0.196297963,P22314;P22314-2,P22314;P22314-2,UBA1_HUMAN,UBA1
,0.70866072,0.196210861,P62312,P62312,LSM6_HUMAN,LSM6
,0.826147312,0.196175257,Q9Y613,Q9Y613,FHOD1_HUMAN,FHOD1
,0.482238079,0.196095785,P63279,P63279,UBC9_HUMAN,UBE2I
,0.780879276,0.195993423,Q6P4A7,Q6P4A7,SFXN4_HUMAN,SFXN4
,1.221932307,0.195496877,Q00535;Q00535-2,Q00535;Q00535-2,CDK5_HUMAN,CDK5
