#GeneID,Symbol,GeneInfo,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,casTLE p-value,Minimum Effect Estimate,Maximum Effect Estimate
ENSG00000134294,SLC38A2,"solute carrier family 38, member 2",10,1.1,16.3,10,1,1.39,1.1,17.2,0.0178,0.8,1.8
ENSG00000205177,C11ORF91,chromosome 11 open reading frame 91,10,-0.2,0.261,10,-1.8,20.5,-1.8,17.2,0.0178,-3,-1
ENSG00000124875,CXCL6,chemokine (C-X-C motif) ligand 6,10,1.2,17.5,10,0.7,6.41,1.1,20.8,0.018,0.8,1.7
ENSG00000169019,COMMD8,COMM domain containing 8,8,-0.6,18.2,8,-0.4,3.39,-0.5,20.8,0.018,-0.9,-0.3
ENSG00000151366,NDUFC2,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa",10,-0.5,0.913,10,-2,23,-2,20.8,0.018,-4,-0.9
ENSG00000124789,NUP153,nucleoporin 153kDa,10,0.5,12.1,10,0.4,6.16,0.4,17.1,0.0181,0.3,0.8
ENSG00000106976,DNM1,dynamin 1,10,-0.6,3.59,10,-0.7,13.9,-0.6,17.1,0.0181,-1.2,-0.3
ENSG00000105325,FZR1,fizzy/cell division cycle 20 related 1 (Drosophila),10,-0.5,7.87,10,-0.4,9.8,-0.5,17.1,0.0181,-0.8,-0.3
ENSG00000139910,NOVA1,neuro-oncological ventral antigen 1,10,0.5,8.9,10,3.1,21.4,0.7,20.7,0.0183,0.6,5.5
ENSG00000166454,ATMIN,ATM interactor,10,-1.2,14.8,10,-0.8,6.66,-1.1,20.7,0.0183,-1.6,-0.4
ENSG00000116030,SUMO1,small ubiquitin-like modifier 1,10,0.3,4.84,10,0.5,18.2,0.5,21.8,0.0185,0.3,0.8
ENSG00000234237,AL162431.1,N/A,4,-0.1,0.00993,5,-2.5,24.2,-2.5,21.8,0.0185,-4,-2.1
ENSG00000163655,GMPS,guanine monphosphate synthase,10,-1,10.3,10,-2.2,10.6,-0.8,17,0.0185,-2.9,-0.6
ENSG00000173660,UQCRH,ubiquinol-cytochrome c reductase hinge protein,9,-0.9,5.43,9,-1.1,12,-1,17,0.0185,-1.7,-0.6
ENSG00000173757,STAT5B,signal transducer and activator of transcription 5B,9,-0.7,7.38,8,-1.1,11.1,-0.9,16.9,0.0188,-1.6,-0.5
ENSG00000165688,PMPCA,peptidase (mitochondrial processing) alpha,10,-0.6,16,10,-0.9,7.38,-0.6,21.7,0.0189,-1.1,-0.4
ENSG00000172053,QARS,glutaminyl-tRNA synthetase,10,-1.2,12.9,10,-1.7,9.32,-1.4,20.6,0.0189,-2.4,-0.7
ENSG00000087302,C14ORF166,chromosome 14 open reading frame 166,9,-0.9,11.6,9,-1.1,11.1,-1.1,21.6,0.0192,-1.7,-0.7
