Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
ACOT2,38.03858199,7.777668267,10.43000309,19.41558463,3.10811317
ACOT7,98.97173983,13.83839841,15.129747,26.93416701,9.346523832
ACOT8,NA,NA,33.23337028,39.23802087,4.452025604
ACOT9,16.29687906,1.78741746,1.905350307,5.874026449,3.951438292
ACOX1,7.197395353,NA,0.545255138,3.546700273,4.381947406
ACOX3,13.71186287,0.991063289,1.01065271,3.920947975,3.957147772
ACP1,NA,9.060016176,25.8961135,NA,18.64469829
ACP2,4.756418673,1.010537702,1.14175656,3.556965403,2.133762731
ACP6,22.44296868,2.277075474,2.145347832,4.416092294,6.12140013
ACRBP,NA,NA,NA,NA,6.123156332
ACSBG1,NA,NA,NA,16.62938513,NA
ACSF2,NA,2.539541025,4.041904978,9.661493048,17.60179303
ACSF3,20.53723433,1.406694209,2.161909075,3.065573951,3.36413238
ACSL1,12.15782524,0.841988022,1.504437652,3.978879964,11.2879755
ACSL3,5.682482885,0.227476798,NA,3.250603669,3.113424839
ACSL4,10.77372468,0.34741341,0.138211547,3.090452343,5.282013787
ACSL6,11.17655486,NA,NA,0.995636839,6.324885641
ACSM3,NA,NA,20.05460462,0.552140167,0.888497767
ACSS1,NA,8.065303593,10.14210231,15.55514832,11.79332728
ACSS2,44.17498858,2.577119579,5.091549013,4.717464865,3.584177449
ACSS3,8.169343487,NA,2.49514549,NA,16.18939237
ACTA1,31.35729482,15.28209855,0.523956918,NA,NA
ACTA2,NA,NA,8.654382236,NA,5.867098754
ACTB,15.41115544,6.644756627,6.482011981,18.86823235,5.167453169
ACTG1,13.37476738,3.819919909,3.718396382,7.261018241,10.49099033
