	HCC38-2	HCC1806-1	MDA-MD-453-2	MDA-MB-231-1	MCF7-2	ZR-75-2	MCF7-1	ZR-75-1	MDA-MB-231-2	MDA-MD-453-1	HCC38-1	HCC1806-2
TIMM8B	0.005923722	0.008212656	0.013335594474592994	0.015493673914994167	0.00947096	0.006069999	0.005354633	0.007941213	0.012041682747973756	0.012672573665773748	0.006556145	0.007699124
SDHD	0.010380622837370242	0.017356127	0.020310988765716836	0.024375654254523704	0.009194557	0.00122449	0.009049774	0.012561522074487623	0.027673319834152926	0.025898203592814372	0.009334103	0.015600742171229505
IL18	0.007332722	0.014945289564985321	0.00280112	0.010564811052417716	0.004149378	0.002083333	0.002439024	0.000833333	0.011519302615193025		0.015990730011587486	0.018560894991100942
PTS	0.008793111	0.010925681354304238	0.00803531	0.022554965883244883	0.014505304178393592	0.009167303	0.004814737	0.004192773	0.012930397517363676	0.007831969	0.005542986	0.014063539324063222
RP11-356J5.12	0.006243496	0.007677543		0.00166113	0.001912046	1	0.001618123	0.001239157	1		0.005617978	0.006284916
TTC12	0.003206841		0.006216696	0.014634146341463415	0.003409091	0.001249219	0.003984064	0.003517749	0.006098801	0.00102119	0.001605136	0.004545455
ZW10	0.008529553	0.011182795698924731	0.017198067632850242	0.018393960192175703	0.004766108	0.009112915	0.002301496	0.010074748131296718	0.017755195	0.008305137	0.010985703536493604	0.012200813
RP11-667M19.2	0.017690875232774673	0.004310345	0.040251572	0.065989848		0.012891344		0.005405405	0.075098814	0.002207506	0.10187353629976581	0.002061856
USP28	0.004608902	0.007075834	0.001526052	0.010099750623441397	0.00363901	0.000105485	0.001771479	0.00424854	0.003597122	0.001049948	0.008886566	0.00409349
NNMT	0.010172667648239861			0.003762227					0.031055900621118012		0.009943182	
REXO2	0.00450901	0.007732865	0.011915187831297533	0.013615954637820473	0.009991586	0.004823219	0.00631966	0.006582732	0.011889819484698418	0.010604501319969574	0.006385027	0.009404734
CADM1	0.002162942		0.007103825	0.008641975	0.008950617	0.000831601	0.005473071	0.004803617	0.005725191	0.002141328	0.000874891	0.002932551
BUD13	0.016011895	0.024096385542168676	0.038477366	0.052134282	0.015002586652871184	0.018118466898954706	0.012302284710017574	0.022147776	0.051582649	0.016735254	0.030283912	0.028428736073761045
ZPR1	0.007433224	0.012393162393162393	0.011965359952402988	0.011612288227392869	0.018880572003128142	0.012449474535165723	0.014483493	0.00401372	0.010861132660977503	0.011015437126677527	0.008261262	0.016850183516850182
AP000936.1	0.00617329	0.009019532	0.007749356	0.007694724	0.005362975	0.005107864	0.005131466	0.005435216	0.007680449	0.00675715	0.007078987	0.009353409
PAFAH1B2	0.014034896846228122	0.022085983993433204	0.049257232	0.031156558255075018	0.018803014053511986	0.018799441600744534	0.015482976428901556	0.016624384	0.030738031132552135	0.035194557	0.013996040144739538	0.018309230187901482
RNF214	0.008767123	0.024866225999370474	0.006262626	0.035075254	0.013213433657551845	0.003968254	0.009945041	0.004175677	0.021944922547332185	0.015105180242794922	0.009475679	0.010448678549477565
BACE1	0.002478079	0.003412969	0.005840822	0.015717803853397074	0.005804069	0.002560273	0.005097934	0.005041947	0.01292855	0.006104893	0.002024922	0.002538071
CEP164	0.024414303329223182	0.024601063829787235	0.014290818	0.044548208	0.031551724	0.026972523	0.033978045	0.013359864	0.040831632	0.030353896	0.021141215106732347	0.030562347188264057
MPZL2	0.007788539	0.014823124672799342	0.014244363193174894		0.011544644161917288	0.00856258	0.006171327	0.00663014	0.002136752	0.012512030798845043	0.007263674	0.013815560146572465
UBE4A	0.00622418	0.013412228796844181	0.009870302	0.014728780036190717	0.008589049	0.005162931	0.004507693	0.003969447	0.013846153846153847	0.012416165947792266	0.007010806	0.011175907097121154
ATP5L	0.005647137	0.007559453	0.005997803	0.008139798	0.007811724	0.006423853	0.00689535	0.004808172	0.006642034	0.007703871	0.006697424	0.008192434
KMT2A	0.012096774193548387	0.032679738562091505	0.013513513513513514	0.015677491601343786	0.016528926	0.006734007	1	0.001930502	0.021422450728363324		0.002695418	0.012244897959183673
TMEM25	0.001192223	0.011673151750972763	0.006182495	0.018384919711426577	0.001862197	0.012293896442001736		0.001976285	0.012247838616714697	0.013653244983568012	0.008007412	0.004695794
IFT46	0.006994012	0.009122288	0.017330933401902802	0.014552858	0.007011735	0.002868439	0.006913891	0.006683266	0.018108651911468814	0.013653874286828887	0.006625972	0.016490669752639953
ARCN1	0.008158392	0.010551703346397347	0.018612346189639126	0.015718684167882028	0.010920121334681496	0.005064759	0.012096077414895455	0.006978053	0.012635379	0.014617691	0.008867833	0.010956633827456035
PHLDB1	0.011172527343290604	0.009626752	0.004081633	0.026253759245712428	0.020897649	0.001874163	0.006702795	0.005561735	0.025235145675613673	0.006697579	0.011332840601133284	0.006883605
DDX6	0.013127474496430945	0.021663234371271246	0.033445863	0.0424262	0.014564042116716348	0.013279430504899591	0.009435016	0.008817305	0.038054272	0.029049079068101964	0.012248528292215967	0.019407604635356106
BCL9L	0.0084342	0.021257277145756558	0.038464346	0.0339571	0.036530378	0.034366406	0.024855613679658915	0.017467949	0.032472361	0.040153507	0.017148121730860676	0.02546027
UPK2	0.001246883	0.000388048			0.006174461		0.006813369	0.001412429			0.00147929	0.000767754
CCDC84	0.012908350709959288	0.024450664350287938	0.011051212938005392	0.030950048971596474	0.022293595314566407	0.015196998123827393	0.0189523	0.008786127	0.037338557	0.015488991295442909	0.021608785989907984	0.028227644
RPS25	0.006360552	0.007315071	0.007467243	0.007687509	0.006703373	0.00481822	0.006114485	0.004599151	0.0082899	0.008004397	0.006522353	0.007208068
TRAPPC4	0.006929897	0.015872654	0.008043774	0.012397951016487914	0.014139098154820395	0.011276765679078081	0.009326195	0.009585941	0.012133562419253872	0.008633014	0.007328847	0.014899968930255178
SLC37A4	0.005095994	0.009847199	0.005734767	0.010867377742000403	0.013273045507584598	0.004614176	0.007271578	0.005324459	0.011185223191380196	0.006749362	0.004142857	0.012279765082754938
HYOU1	0.003092928	0.006262401	0.007199764	0.008136733	0.011033208326539486	0.006214884	0.004144022	0.004807692	0.005291005	0.003272283	0.005617978	0.003492281
VPS11	0.009208103	0.004149378	0.011177753544165758	0.027472527472527472	0.014644351464435146	0.014762165117550574	0.019007881316643487	0.013360132419011586	0.022714258	0.007970244	0.011358671909130624	0.017659462308908802
HMBS	0.00752847	0.008097166	0.01750175	0.014095317842439467	0.016016264193980265	0.007354199	0.010030498	0.010677949027903698	0.011217712177121772	0.014151550238003345	0.005092107	0.012699270467441232
H2AFX	0.014394196985152442	0.019956078	0.025958951089537278	0.028387610267294555	0.020027823713153266	0.016549968173138127	0.016553961	0.019999054418230817	0.026972416709741084	0.020810878036647044	0.01726709	0.019961567120279227
DPAGT1	0.005207845	0.008301648	0.006880036	0.015459490409390209	0.011982111214243524	0.006840403	0.011914813772398912	0.006359866	0.011054110174667155	0.003614751	0.011472415052977712	0.00925202
CBL	0.014466141168040129	0.026557711950970377	0.01663586	0.037892738	0.031512970808426674	0.012014065247118578	0.018225151	0.011722807538210417	0.038093960631769556	0.026420891	0.015134618	0.030758096616609373
RNF26	0.003834856	0.021810905452726362	0.054182825484764545	0.027809138986273695	0.022587719298245615	0.009714105	0.027765417816143098	0.011803549	0.026766503141406318	0.031739193	0.014172471775162144	0.016765028463989137
TRIM29	0.012745098039215686	0.009564802	0.003215434		0.008025682	0.009433962	1	1		0.017948717948717947	0.002985075	0.007458174
OAF	0.003571429	0.027777777777777776	0.003610108	0.094188377	0.005319149	0.000837521	0.004694836	0.005494505	0.051282051	0.002103049	0.006309148	0.044776119
ARHGEF12	0.001754386	0.004343105	0.006643701	0.016361886429258902	0.002616089	0.023966165413533833	0.001484781	0.00746826	0.010406811731315043	0.00607718	0.000658762	0.003644315
TBCEL	0.003649635			0.015330188679245283	1	0.002793296		0.00172117	0.058981233243967826	0.00068306		
SC5D	0.003089598	0.008965738	0.020805711371749108	0.003355705	0.010290492014149426	0.001704223	0.0022041	0.003251904	0.00922797	0.014646053702196907	0.001098499	0.012330910094782368
MIR100HG	0.005274262	0.009803922		0.051847153955921994					0.042883452		0.008353222	1
UBASH3B	0.010503817909466223	0.015517508922567631		0.023740581605330345	0.001269036	1	0.002531646	0.000976563	0.023609610108903483		0.012189759624780144	0.018765311121999022
HSPA8	0.013085165037489974	0.028873556322183892	0.017245521832741997	0.033807695	0.017670362643287467	0.016763535	0.015011645458271274	0.013626721450941202	0.032718857717494686	0.016465826	0.013942455415852414	0.028664683884794543
CLMP	0.001471784	0.009708738		0.022920290596541493	0.003246753	0.001444252		0.003203075	0.021390079		0.00294194	0.007551993
TBRG1	0.013130898645876077	0.014800995024875621	0.04435155	0.023477530449391014	0.027281079934977737	0.036492252	0.012424904423812125	0.014927919474537234	0.027447347893915758	0.025679382	0.010030090270812437	0.016222699154147202
SIAE	0.001052816	0.009695291	0.014925373134328358	0.014980851543140347	0.009663866	0.002856284	0.001954557	0.006073259	0.011734634599744394		0.001780415	0.002584934
SPA17	0.005154639	0.004885993		0.003944773	0.00140647	0.000271297	0.002161383	0.003276898	0.007237794		0.002561475	0.005685856
MSANTD2	0.00243309	0.009279086	0.016129032258064516	0.034907782	0.001872659	0.000580383	0.002025658	0.00640784	0.039855417102634835	0.000854701	0.031428571	0.010317255610007738
