	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
MIR4775	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4776-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4777	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR4778	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4779	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4780	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4782	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4783	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4786	0	0	0	1	0	0	0	0	0	1	0	0	1	0
MIR4787	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR4788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4789	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4790	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4793	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4795	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4796	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4797	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4802	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR483	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR487A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR487B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR488	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR489	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR491	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR492	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR493	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR494	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR495	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR496	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR497HG	0	11	1	7	7	8	1	4	4	2	0	8	2	9
MIR498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR499A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR500A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR500B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5010	1	2	0	0	0	0	0	0	0	1	0	0	0	0
MIR5011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR502	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR503HG	28	64	92	16	45	95	11	34	13	71	16	40	9	51
MIR504	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5089	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR509-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR509-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR509-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5091	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR5092	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5094	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5095	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5096	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR511-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR511-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR512-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR512-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR513C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR514B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR515-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR515-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR516B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR517A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR517B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR517C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5187	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR5188	0	0	0	0	0	0	0	2	1	0	0	1	0	0
MIR5189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR518F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR519E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520G	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR520H	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR521-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR521-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR524	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR526A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR526A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR526B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR527	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR539	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR541	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR544A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR544B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR545	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548A3	1	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR548AA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AB	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AD	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AH	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AJ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AM	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AN	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AO	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AR	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AT	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AV	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AX	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548G	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548I4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548J	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548K	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548L	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548M	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548O	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548O2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548S	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548T	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548U	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548V	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548W	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548X	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548X2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548XHG	2	7	1	2	8	7	0	6	2	4	0	3	2	1
MIR548Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR550A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR550A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR550A3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR551B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR552	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5579	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR558	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5580	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR5581	0	1	0	0	3	0	0	2	0	0	0	1	0	0
MIR5582	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5583-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5587	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR5589	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5590	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR562	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR563	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR566	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5681A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5683	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5688	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5689	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5689HG	2	11	1	1	11	0	1	12	5	3	1	3	0	3
MIR569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5692C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5693	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5695	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR570	2	9	11	5	19	13	6	23	13	9	6	13	4	11
MIR5700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5701-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5701-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5702	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5707	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5708	0	0	0	0	0	3	0	0	0	0	0	0	0	0
MIR571	0	0	0	0	1	1	2	0	1	0	0	1	0	1
MIR572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR573	4	0	0	2	0	0	0	0	1	3	3	1	1	1
MIR574	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MIR575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR576	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR577	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR578	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR579	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR581	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR582	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR583	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR583HG	3	10	4	4	6	9	1	4	2	1	2	4	1	0
MIR584	1	2	0	0	0	1	0	0	0	0	0	2	0	0
MIR585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR588	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR589	2	3	0	6	5	5	3	2	0	1	1	1	7	2
MIR590	1	0	0	2	2	0	0	0	0	1	0	0	0	0
MIR591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR593	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR595	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR596	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR597	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR598	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR600HG	70	33	59	42	25	80	70	25	42	63	172	16	57	84
MIR601	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR602	0	0	0	0	0	0	0	0	0	0	1	0	1	0
MIR603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR604	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR605	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR606	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR610	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR613	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR616	2	2	0	0	2	0	0	1	1	2	0	4	0	1
MIR617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR619	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR621	46	46	32	31	62	36	43	66	91	67	29	58	38	48
MIR622	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR624	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR627	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR628	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR629	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR630	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR631	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR633	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR635	7	11	6	8	7	10	8	7	25	9	9	14	8	8
MIR636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR637	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR638	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR639	0	1	0	0	0	3	0	1	0	0	0	0	0	0
MIR640	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR641	3	0	2	1	1	3	1	0	0	2	0	0	0	0
MIR642A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR644A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR646HG	32	57	32	13	52	21	11	52	27	32	10	21	2	16
MIR647	0	1	1	0	0	3	0	0	0	0	0	2	0	0
MIR648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR649	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR650	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR651	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR653	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR654	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR656	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR657	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR658	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR659	0	1	1	0	0	0	0	1	0	1	1	0	0	0
MIR660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR661	0	0	0	0	0	0	0	0	0	3	0	0	0	0
MIR662	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR663AHG	3	20	17	10	10	23	1	4	1	9	8	13	11	13
MIR663B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR665	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR670HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR676	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7-3HG	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MIR708	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR711	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR718	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR720	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7515HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR758	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR760	2	0	0	0	0	0	1	1	0	0	0	0	0	0
MIR761	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR762	0	3	1	2	3	5	0	3	0	1	0	5	1	1
MIR762HG	42	105	56	36	90	56	10	76	33	52	6	46	15	41
MIR764	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR765	0	0	0	0	0	0	0	0	0	1	0	0	1	0
MIR766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
