	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
ABCD1	439	142	287	375	119	253	230	65	152	161	310	176	376	214
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	4	2	4	1	6	1	1	3	2	1	1	2	2	2
ABCD3	1738	817	1003	970	659	1503	3476	692	946	1900	3540	688	1426	1511
ABCD4	1095	2596	1525	1021	2286	1458	861	1906	952	1430	1237	1705	1361	1657
ABCE1	7220	2398	5117	5720	2799	7113	11570	1951	3746	5644	9858	2437	5847	5013
ABCF1	5985	2953	4954	5228	2647	6064	9505	2065	2931	6403	13979	3356	6028	7162
ABCF2	4555	1882	3608	4835	1946	4674	7933	1678	2069	4645	10698	2847	5388	5384
ABCF2P1	1	0	0	1	1	3	1	0	0	1	0	0	1	1
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	2242	1030	1971	2280	977	2057	3308	778	1014	2139	4540	1360	2460	2490
ABCG1	5	9	4	9	2	2	0	0	0	0	2	1	2	0
ABCG2	359	183	232	225	132	225	580	149	294	390	668	266	464	404
ABCG4	16	24	14	10	18	14	5	11	10	13	5	21	15	17
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	10	4	2	7	4	0	1	1	1	0	3	0	5
ABHD10	1744	896	1192	1706	803	1431	1767	796	2199	1419	1370	1148	2473	1273
