db_gene_symbol,ensembl_gene,gs_name,gs_description,gs_source_species
CD2BP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CD3EAP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CD99L2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDC25B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDC34,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDC37,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDC37L1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDC42,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDC42EP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDCA4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDH4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDK2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDK2AP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDK4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDK5R1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDK5RAP3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDKN1A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDKN2A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDR2L,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CDT1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CFL1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHCHD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHCHD2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHCHD3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHCHD4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHCHD5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHCHD6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHCHD7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHIC2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHMP2A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHMP4A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHMP7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHST11,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHST2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CHTF18,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CIAPIN1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CIB1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CIB2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CKS2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CLDN23,NA,eIF4E activated translation,PMID 41102449,homo sapiens
