db_gene_symbol,ensembl_gene,gs_name,gs_description,gs_source_species
LGALS3BP,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
LGMN,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
LIMCH1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
LMO7,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
LRRC42,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
LRRC57,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
LSM14A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
LYPLA2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MACROH2A1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MAFK,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MAPKAPK2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MARCHF6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MBNL3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MBP,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MCCC2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MCM3AP,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MED12,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MED18,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MED6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MELK,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
METTL15,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
METTL5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MGRN1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MKLN1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MLH1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MMACHC,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MPI,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MSL2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MT2A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MTA3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
MYL12B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
N4BP2L2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NAP1L1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NAPA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NARF,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NARS1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NAT10,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NCKIPSD,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NDEL1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NDOR1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NDUFV1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NDUFV3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NFATC3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NFE2L2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NFIA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NFIB,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NFIL3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NHEJ1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NIBAN2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NIFK,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NIPSNAP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NKAPD1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NOP53,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NPEPPS,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NR2C2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NRIP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NUF2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NUMA1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NUP153,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NUP62,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
NUSAP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
OCIAD1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
OFD1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
OGA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ORAI1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ORC6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
OTUD5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PA2G4,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PABPC1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PABPN1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PAFAH2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PALLD,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PALM2AKAP2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PARN,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PARP2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PATL1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PBK,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PC,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PDCD10,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PDCD6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PDLIM1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PES1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PFDN1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PFN2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PGPEP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PGRMC2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PHC3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PIEZO2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PIGT,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PINX1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PITX1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PKM,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PLAA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PLEKHA5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PLXNB2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PMF1-BGLAP,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PNPO,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
POLR3C,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
POM121,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PPIE,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PPM1B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PPME1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PPP2R2A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PPP3CB,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PPP3R1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PRC1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PRDM2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PRKACA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PRKDC,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PRKRA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PRORP,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PRR11,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PSMB5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PSMC6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PSMD1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PSMD10,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PSMF1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTBP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTBP3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTGES3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTK2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTMS,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTOV1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTP4A1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PTS,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
PUF60,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
QARS1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
R3HDM2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAB13,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAB14,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAB1A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAB5A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAB7A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RABGEF1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAD51AP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAD54L,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAE1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAF1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RAPH1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RBM26,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RBM39,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RBM7,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RBMS1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RBMS2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RC3H1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RCN1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
REEP5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RETREG3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RFX7,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RIOK3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RIOX2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RIT1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RMDN3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RNASEK,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RNF145,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RNF167,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RNF170,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RNF4,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RNPS1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RPA2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RPP30,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RPRD2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RPS6KA1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RPTOR,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RPUSD1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RRM2B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RSRC1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RTEL1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RTN3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
RTN4,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
S100A11,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SAMD8,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SAP130,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SAR1B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SCAF11,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SCARB1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SEC14L1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SEC24A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SEC24B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SELENOS,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SENP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SERPINB6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SF3A2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SF3B4,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SGTA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SH3GL1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SIK3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SLC26A6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SLC38A1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SLC38A7,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SLC8B1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SLCO4A1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SMAD3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SMARCA4,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SMIM10L1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SNAP23,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SNAP29,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SNRPA1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SNRPD2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SNRPE,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SNX11,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SON,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SPTAN1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SQLE,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SRGAP2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SRP14,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SRSF2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SRSF5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SS18,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SSR1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SSR3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
STAM,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
STAT3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
STON2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
STRA6,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
STRAP,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
STX3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
STYXL1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
SUZ12,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TAB1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TAF15,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TARS2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TBCA,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TCP11L1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TEX2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TFG,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TGFBR3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
THAP3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
THAP5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
THYN1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TIA1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TIAL1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TIGD2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TJP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TLE3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TLE5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TLK1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TMEM216,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TMEM268,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TMEM9,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TMUB1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TNS1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TOB1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TOM1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TOP2B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TPD52L1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TPGS2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TRAPPC12,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TRIM29,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TSC22D2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TSFM,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TTC8,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TTI2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TUBGCP5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TUT4,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TXNDC9,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
TXNL4B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBAP1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBE2B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBE2D2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBE2D3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBE2E3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBE2F,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBL7,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UBXN2B,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
UCHL5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ULBP3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
USF2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
USP14,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
USP3,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
VAPB,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
VDAC1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
VDAC2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
VIPAS39,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
VPS37A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
WAC,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
WARS1,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
WASF2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
WBP2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
WDR45,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
YAF2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
YIPF2,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
YIPF5,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZBTB37,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZBTB8A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZC3H11A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZC3H7A,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZNF317,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZNF557,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZNF587,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZNF687,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZNF706,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
ZYX,NA,DHX9 KD suppresed translation,PMID 41102449,homo sapiens
BIRC6,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
BIVM,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
BRCA2,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
BTN2A2,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
C5orf34,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
CAB39L,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
CALCRL,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
CEP295,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
CREBRF,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
CSTF2T,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
DNAJC17,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
DYNC1H1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
DYNC2H1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
EVC2,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
FBN1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
FBN2,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
FBXO16,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
FBXO36,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
FHDC1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
FN1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
GCNT1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
GOLGB1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
ING5,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
IQCA1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
IQCC,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
L3MBTL3,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
LMCD1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
MAMSTR,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
MAP9,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
MDN1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
METTL15,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
MTMR11,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
NBR2,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
PEX11A,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
POC5,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
PRKDC,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
RGS5,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
RWDD2A,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SCARNA22,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SNORA18,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SNORA53,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SNORD31,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SNORD38B,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SNORD58C,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SRGN,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
STAG3L1,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
STAG3L4,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
SUOX,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
TERC,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
TMEM254,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
TRIM45,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
TTC25,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
UBR4,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
WDR25,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
XYLB,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
ZNF292,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
ZNF486,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
ZNF528,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
ZNF615,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
ZNF720,NA,SNAT2 activated translation,PMID 41102449,homo sapiens
ABHD8,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ABL1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ACVR2A,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ADA,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ADGRL1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ADIPOR1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AFAP1L1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AGAP3,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AGO2,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AGRN,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AGTPBP1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AKT1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ALKBH3,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ANKDD1A,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AP2A1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
AP3D1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ARHGAP29,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ARL6IP4,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ARSD,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ATAD3A,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
ATN1,NA,SNAT2 suppresed translation,PMID 41102449,homo sapiens
